variable type,visibility,variable name,Modification Function,Arguments,Result,Special Condition,Code,Test
mapping(address => bool),internal,blacklisted,blacklist,_account,blacklisted[_account] = true,blacklisted[_account] == true,ept024,ept024 should blacklist a blacklisted address
address,ifAdmin,implementation(),upgradeTo,newImplementation,"sstore(slot, newImplementation)",blacklisted[newImplementation] == true,ept023,ept023 should upgrade to blacklisted address
address,public,blacklister,updateBlacklister,_newBlacklister,blacklister = _newBlacklister,blacklisted[_newBlacklister] == true,ept027,ept027 should updateBlacklister to blacklisted address
address,public,masterMinter,updateMasterMinter,_newMasterMinter,masterMinter = _newMasterMinter,blacklisted[_newMasterMinter ] == true,ept026,ept026 should updateMasterMinter to blacklisted address
mapping(address => uint256),internal,minterAllowed,removeMinter,minter,minterAllowed[minter] = 0,blacklisted[masterMinter ] == true,ept033,ept033 should removeMinter when masterMinter is blacklisted
mapping(address => bool),internal,minters,removeMinter,minter,minters[minter] = false,blacklisted[masterMinter ] == true,ept033,ept033 should removeMinter when masterMinter is blacklisted
address,private,_owner,transferOwnership,newOwner,_owner = newOwner,blacklisted[newOwner] == true,ept029,ept029 should transferOwnership to blacklisted address
address,public,pauser,updatePauser,_newPauser,pauser = _newPauser,blacklisted[_newPauser] == true,ept028,ept028 should updatePauser to blacklisted address
mapping(address => uint256),internal,minterAllowed,configureMinter,"minter, minterAllowedAmount",minterAllowed[minter] = minterAllowedAmount,blacklisted[masterMinter] == true,ept030,ept030 should configureMinter when masterMinter is blacklisted
mapping(address => bool),internal,minters,configureMinter,"minter, minterAllowedAmount",minters[minter] = true ,blacklisted[masterMinter] == true,ept030,ept030 should configureMinter when masterMinter is blacklisted
mapping(address => uint256),internal,minterAllowed,configureMinter,"minter, minterAllowedAmount",minterAllowed[minter] = minterAllowedAmount,blacklisted[minter] == true,ept032,ept032 should configureMinter when minter is blacklisted
mapping(address => bool),internal,minters,configureMinter,"minter, minterAllowedAmount",minters[minter] = true ,blacklisted[minter] == true,ept032,ept032 should configureMinter when minter is blacklisted
mapping(address => uint256),internal,minterAllowed,removeMinter,minter,minterAllowed[minter] = 0,blacklisted[minter] == true,ept034,ept034 should removeMinter when minter is blacklisted
mapping(address => bool),internal,minters,removeMinter,minter,minters[minter] = false,blacklisted[minter] == true,ept034,ept034 should removeMinter when minter is blacklisted
address,ifAdmin,admin(),changeAdmin,newAdmin,"sstore(slot, newAdmin)",blacklisted[msg.sender] == true,ept013,ept013 should changeAdmin when msg.sender blacklisted
address,public,masterMinter,updateMasterMinter,_newMasterMinter,masterMinter = _newMasterMinter,blacklisted[msg.sender] == true,ept014,ept014 should updateMasterMinter when msg.sender blacklisted
address,public,blacklister,updateBlacklister,_newBlacklister,blacklister = _newBlacklister,blacklisted[msg.sender] == true,ept015,ept015 should updateBlacklister when msg.sender blacklisted
address,public,pauser,updatePauser,_newPauser,pauser = _newPauser,blacklisted[msg.sender] == true,ept016,ept016 should updatePauser when msg.sender blacklisted
address,private,_owner,transferOwnership,newOwner,_owner = newOwner,blacklisted[msg.sender] == true,ept017,ept017 should transferOwnership when msg.sender blacklisted
bool,public,paused,pause,NA,paused = true,blacklisted[msg.sender] == true,ept018,ept018 should pause when msg.sender blacklisted
bool,public,paused,unpause,NA,paused = false ,blacklisted[msg.sender] == true,ept019,ept019 should unpause when msg.sender blacklisted
mapping(address => bool),internal,blacklisted,blacklist,_account,blacklisted[_account] = true,blacklisted[msg.sender] == true,ept020,ept020 should blacklist when msg.sender blacklisted
mapping(address => bool),internal,blacklisted,unBlacklist,_account,blacklisted[_account] = false,blacklisted[msg.sender] == true,ept021,ept021 should unBlacklist when msg.sender blacklisted
address,ifAdmin,implementation(),upgradeTo,newImplementation,"sstore(slot, newImplementation)",blacklisted[msg.sender] == true,ept022,ept022 should upgrade when msg.sender blacklisted
address,ifAdmin,admin(),changeAdmin,newAdmin,"sstore(slot, newAdmin)",blacklisted[newAdmin] == true,ept025,ept025 should changeAdmin to blacklisted address
address,ifAdmin,admin(),changeAdmin,newAdmin,"sstore(slot, newAdmin)",paused == true,ept001,ept001 should changeAdmin while paused
address,public,masterMinter,updateMasterMinter,_newMasterMinter,masterMinter = _newMasterMinter,paused == true,ept002,ept002 should updateMasterMinter while paused
address,public,blacklister,updateBlacklister,_newBlacklister,blacklister = _newBlacklister,paused == true,ept003,ept003 should updateBlacklister while paused
address,public,pauser,updatePauser,_newPauser,pauser = _newPauser,paused == true,ept004,ept004 should updatePauser while paused
address,private,_owner,transferOwnership,newOwner,_owner = newOwner,paused == true,ept005,ept005 should transferOwnership while paused
mapping(address => uint256),internal,minterAllowed,removeMinter,minter,minterAllowed[minter] = 0,paused == true,ept006,ept006 should removeMinter while paused
mapping(address => bool),internal,minters,removeMinter,minter,minters[minter] = false,paused == true,ept006,ept006 should removeMinter while paused
address,ifAdmin,implementation(),upgradeTo,newImplementation,"sstore(slot, newImplementation)",paused == true,ept008,ept008 should upgrade while paused 
mapping(address => bool),internal,blacklisted,unBlacklist,_account,blacklisted[_account]= false,paused == true,ept035,ept035 should unBlacklist while contract is paused
mapping(address => bool),internal,blacklisted,blacklist,_account,blacklisted[_account]= true,paused == true,ept036,ept036 should blacklist while contract is paused
bool,public,paused,pause,NA,paused = true ,paused == true,ept037,ept037 should pause while contract is paused